local_name,name,country,segment
力晶創新投資控股股份有限公司,Powerchip (PSMC Holding),TWN,Foundry / DRAM
工業技術研究院,ITRI (Industrial Technology Research Institute),TWN,R&D Institute
世界先進積體電路股份有限公司,Vanguard Intl Semiconductor (VIS),TWN,Foundry
台灣光罩股份有限公司,Taiwan Mask Corp,TWN,Photomasks
台灣積體電路製造股份有限公司,TSMC,TWN,Foundry (Anchor)
台灣應用材料股份有限公司,Applied Materials (Taiwan),TWN,Equipment
巨華積体電路股份有限公司,Juhua IC,TWN,IC
矽成積體電路股份有限公司,ISSI (Integrated Silicon Solution),TWN,Memory
南亞科技股份有限公司,Nanya Technology,TWN,DRAM
科林研發股份有限公司,Lam Research (Taiwan R&D),TWN,Equipment
美商科磊股份有限公司台灣分公司,KLA (Taiwan),TWN,Metrology / Inspection
凌陽科技股份有限公司,Sunplus Technology,TWN,Fabless IC Design
華邦電子股份有限公司,Winbond Electronics,TWN,Memory
華泰電子股份有限公司,Walton Advanced Engineering,TWN,OSAT
菱生精密工業股份有限公司,Lingsen Precision Industries,TWN,OSAT
瑞昱半導體股份有限公司,Realtek Semiconductor,TWN,Fabless IC Design
鈺創科技股份有限公司,Etron Technology,TWN,Memory / Fabless
漢民科技股份有限公司,Hermes-Epitek,TWN,Equipment Distribution
漢磊科技股份有限公司,Episil Technologies,TWN,Specialty Foundry
聯華電子股份有限公司,UMC (United Microelectronics),TWN,Foundry
